name,birth,debut,career
임태훈,1988-09-28,2007,8
마리몬,1988-09-30,2016,1
정진호,1988-10-02,2011,9
켈리,1988-10-14,2015,4
김강,1988-10-16,2007,4
이천웅,1988-10-20,2012,9
임치영,1988-10-29,2012,3
김헌곤,1988-11-09,2011,10
정영일,1988-11-16,2016,6
김대우,1988-11-21,2011,10
이재곤,1988-11-24,2010,5
파레디스,1988-11-25,2018,1
스트레일리,1988-12-01,2020,3
이원재,1988-12-01,2007,5
이승우,1988-12-08,2009,2
김민성,1988-12-17,2007,16
라라,1988-12-20,2016,1
임현준,1988-12-21,2011,9
루친스키,1988-12-30,2019,4
이용찬,1989-01-02,2008,14
이윤재,1989-01-02,2018,1
김성현,1989-01-03,2008,4
미란다,1989-01-10,2021,2
고종욱,1989-01-11,2011,10
김재율,1989-01-14,2011,6
명재철,1989-01-17,2011,2
최원제,1989-02-04,2008,4
이상호,1989-02-05,2013,9
스몰린스키,1989-02-09,2019,1
황진수,1989-02-15,2012,8
카스티요,1989-02-19,2016,1
박찬도,1989-02-22,2013,6
