birth||name,year||team||pos,WAR,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,DP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WPA
1995-12-06 || 박재욱,22LC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
2001-06-21 || 신준우,22키SS,0,76,54,43,6,6,3,0,0,9,0,0,0,7,2,0,19,0,2,0,0.14,0.289,0.209,0.498,0.246,45.5,-0.23
1999-04-16 || 고명성,22K,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
1997-05-05 || 강상원,22한,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
1992-08-07 || 김재유,22롯,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.03
1987-05-13 || 신정락,22한P,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
1996-10-10 || 류진욱,22NP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
1990-11-04 || 이상민,22삼P,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
1994-03-07 || 서동민,22SP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
1996-09-29 || 배제성,22KSS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
1986-06-26 || 진해수,22LP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
1987-11-01 || 장시환,22한P,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
2002-02-15 || 지명성,22KP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
1994-07-15 || 윤호솔,22한P,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
2001-05-18 || 박주혁,22삼P,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
1995-01-13 || 함덕주,22LP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0
